題號,類別,題目,解答
1,本局基本資料,本局地址？,"本局地址：106臺北市大安區辛亥路二段185號3樓(中央百世大樓)
服務電話：(02) 2738-0007     傳真熱線：(02)23779875
交通資訊：
(1) 搭乘捷運：搭捷運文湖線，於科技大樓站下，出捷運車站後，沿復興南路二段往南至辛亥路右轉，步行約15分鐘。
(2) 搭乘公車：自火車站搭乘和平幹線（原15）、18號公車於復興南路口站下。
(3) 其他公車路線：52、72、復興幹線（原74）、207、211、235、278、284、662、663、680及568公車於復興南路口站下；237、295、紅57於大安健康服務中心站下；298、949公車於台大資訊大樓站下。
(4) 自行開車：
Ⅰ.國道1號高速公路(中山高)，由建國北路出口，走建國高架橋至辛亥路口下橋、沿辛亥路直行，至基隆路口前迴轉道迴轉，過復興南路口即達。
Ⅱ.國道3號高速公路(北二高)，由新店安坑交流道出口，往台北、景美方向走環河快速道路，順基隆路方向於辛亥路出口下橋，直行至辛亥路左轉，再沿辛亥路慢車道直行，過復興南路口即達。
Ⅲ.國道3號高速公路(北二高)，由木柵交流道出口，連接國道3甲往辛亥路方向下高速公路，穿過地下道，靠右行駛慢車道，過復興南路口即達。
(5) 停車資訊：除路邊停車外，附近有龍門國中地下停車場(入口在建國南路)、台大校園停車場(入口在辛亥路)。"
2,本局基本資料, 本局服務時間？,"(1) 本局3樓收件(費)櫃台：
Ⅰ.收件服務時間為早上8：30至下午5：30(中午不休息)。
Ⅱ.收費服務時間為早上8：30至下午5：00(中午不休息)。
(2) 本局專利商標電子收件時間為早上8：30至下午9：00(中午不休息)
(3) 電子申請及專利業務電話諮詢及本局3樓專利服務台服務時間為早上8：30至下午5：30(中午休息)。
(4)本局三樓專利商標資料閱覽室服務時間為早上午8：30至下午5：30（中午休息時間為12：30至13：30）"
3,本局基本資料,各地服務處地址？,"新竹服務處：新竹市北大路68號5樓（來金商業大樓）
電話：（03）5350235 （03）5350255  傳真機：（03）5350295
臺中服務處：臺中市南屯區黎明路2段503號7樓。
電話：（04）22513761-3 傳真機：（04）22513764
臺南服務處：臺南市中西區永華路1段32號5樓
電話：（06）2225011 -2傳真機：（06）2228396
高雄服務處：高雄市苓雅區政南街6號7樓（行政院南部聯合服務中心7F，108年7月1日遷移新址）
電話：（07）715-1786-7 傳真：（07）722-2674
"
4,本局基本資料,各地服務處服務時間？,收件、收費時間為早上8：30至下午 5：00(中午休息時間12：30至13：30)，開放時間為早上8：30至下午5：30。
5,專利基本認識,何謂專利？,當發明人、新型創作人或設計人就其創作提出專利申請，且經審查符合專利法的規定後，國家將其技術公開，並給予專利權，賦予在一定期間內的權益保護，這種權利就是專利權。專利權人在一定期間內，專有排除他人未經其同意而實施其發明、新型及設計之創作的權利。
6,專利基本認識,我國的專利種類有幾種？,發明、新型、設計三種。
7,專利基本認識,何謂發明？,發明是指利用自然界中固有的規律所產生之技術思想的創作，以產生功效，解決問題，達成所預期的發明目的。發明必須具有技術性（technical character），即發明解決問題的手段必須是涉及技術領域的技術手段。申請專利之發明具有技術性，才符合發明之定義；因此，申請專利之發明不具有技術性者，例如單純的發現、科學原理、單純的資訊揭示、單純之美術創作等，都不符合發明的定義。
8,專利基本認識,何謂新型？,新型是利用自然法則之技術思想，佔據一定空間的物品實體，且具體表現於物品上之形狀、構造或組合的創作。亦即新型係指基於形狀、構造或組合之創作，所製造出具有使用價值和實際用途之物品。申請專利之新型僅限於有形物品之形狀、構造或組合的創作，非僅屬抽象的技術思想或觀念，因此舉凡物之製造方法、處理方法、使用方法等，及無一定空間形狀、構造的化學物質、組成物，均不符合新型的定義。
9,專利基本認識,何謂設計？,設計是指對物品全部或部分之形狀、花紋、色彩或其結合，透過視覺訴求的創作，此外，應用於物品之電腦圖像及圖形化使用者介面，亦得申請取得設計專利。申請設計專利所呈現的「形狀、花紋、色彩或其結合」的創作，必須符合「應用於物品」且係「透過視覺訴求」之具體設計，才符合設計的定義。
10,專利基本認識,發明專利、新型專利、設計專利有何不同？,"發明專利與新型專利都是保護利用自然法則之技術思想的創作，著重於功能、技術、製造及使用方便性等方面之改進。但發明的標的較廣，包括物質（無一定空間型態）、物品（有一定空間型態）、方法、生物材料及其用途；新型的標的則僅及於物品之形狀、構造或組合的創作。
設計專利是保護對物品全部或部分之形狀、花紋、色彩或其結合，透過視覺訴求的創作，著重於物品質感、親和性、高價值感之視覺效果表達，以增進商品競爭力及使用上視覺之舒適性，與技術性無關。
發明專利及設計專利都須經過實體審查才能取得專利權，但新型專利則不經過實體審查，而採形式審查，故新型專利權本質上具有不安定性與不確定性。"
